,correlation_threshold,performance_threshold,mean_of_mean_performance
0,0.0,0.0,-0.0007305480223281665
1,0.0,0.05,0.020546123276318433
2,0.0,0.1,
3,0.0,0.15000000000000002,
4,0.0,0.2,
5,0.0,0.25,
6,0.0,0.30000000000000004,
7,0.0,0.35000000000000003,
8,0.0,0.4,
9,0.0,0.45,
10,0.0,0.5,
11,0.0,0.55,
12,0.0,0.6000000000000001,
13,0.0,0.65,
14,0.0,0.7000000000000001,
15,0.0,0.75,
16,0.0,0.8,
17,0.0,0.8500000000000001,
18,0.0,0.9,
19,0.0,0.9500000000000001,
20,0.05,0.0,-0.0009317000212545872
21,0.05,0.05,0.020546123276318433
22,0.05,0.1,
23,0.05,0.15000000000000002,
24,0.05,0.2,
25,0.05,0.25,
26,0.05,0.30000000000000004,
27,0.05,0.35000000000000003,
28,0.05,0.4,
29,0.05,0.45,
30,0.05,0.5,
31,0.05,0.55,
32,0.05,0.6000000000000001,
33,0.05,0.65,
34,0.05,0.7000000000000001,
35,0.05,0.75,
36,0.05,0.8,
37,0.05,0.8500000000000001,
38,0.05,0.9,
39,0.05,0.9500000000000001,
40,0.1,0.0,-0.0007252502558600976
41,0.1,0.05,0.020546123276318433
42,0.1,0.1,
43,0.1,0.15000000000000002,
44,0.1,0.2,
45,0.1,0.25,
46,0.1,0.30000000000000004,
47,0.1,0.35000000000000003,
48,0.1,0.4,
49,0.1,0.45,
50,0.1,0.5,
51,0.1,0.55,
52,0.1,0.6000000000000001,
53,0.1,0.65,
54,0.1,0.7000000000000001,
55,0.1,0.75,
56,0.1,0.8,
57,0.1,0.8500000000000001,
58,0.1,0.9,
59,0.1,0.9500000000000001,
60,0.15000000000000002,0.0,-0.0005399544422588551
61,0.15000000000000002,0.05,0.020546123276318433
62,0.15000000000000002,0.1,
63,0.15000000000000002,0.15000000000000002,
64,0.15000000000000002,0.2,
65,0.15000000000000002,0.25,
66,0.15000000000000002,0.30000000000000004,
67,0.15000000000000002,0.35000000000000003,
68,0.15000000000000002,0.4,
69,0.15000000000000002,0.45,
70,0.15000000000000002,0.5,
71,0.15000000000000002,0.55,
72,0.15000000000000002,0.6000000000000001,
73,0.15000000000000002,0.65,
74,0.15000000000000002,0.7000000000000001,
75,0.15000000000000002,0.75,
76,0.15000000000000002,0.8,
77,0.15000000000000002,0.8500000000000001,
78,0.15000000000000002,0.9,
79,0.15000000000000002,0.9500000000000001,
80,0.2,0.0,-0.0003364572480784064
81,0.2,0.05,0.020546123276318433
82,0.2,0.1,
83,0.2,0.15000000000000002,
84,0.2,0.2,
85,0.2,0.25,
86,0.2,0.30000000000000004,
87,0.2,0.35000000000000003,
88,0.2,0.4,
89,0.2,0.45,
90,0.2,0.5,
91,0.2,0.55,
92,0.2,0.6000000000000001,
93,0.2,0.65,
94,0.2,0.7000000000000001,
95,0.2,0.75,
96,0.2,0.8,
97,0.2,0.8500000000000001,
98,0.2,0.9,
99,0.2,0.9500000000000001,
100,0.25,0.0,-8.65946112700923e-05
101,0.25,0.05,0.020546123276318433
102,0.25,0.1,
103,0.25,0.15000000000000002,
104,0.25,0.2,
105,0.25,0.25,
106,0.25,0.30000000000000004,
107,0.25,0.35000000000000003,
108,0.25,0.4,
109,0.25,0.45,
110,0.25,0.5,
111,0.25,0.55,
112,0.25,0.6000000000000001,
113,0.25,0.65,
114,0.25,0.7000000000000001,
115,0.25,0.75,
116,0.25,0.8,
117,0.25,0.8500000000000001,
118,0.25,0.9,
119,0.25,0.9500000000000001,
120,0.30000000000000004,0.0,-8.596901578610519e-05
121,0.30000000000000004,0.05,0.020546123276318433
122,0.30000000000000004,0.1,
123,0.30000000000000004,0.15000000000000002,
124,0.30000000000000004,0.2,
125,0.30000000000000004,0.25,
126,0.30000000000000004,0.30000000000000004,
127,0.30000000000000004,0.35000000000000003,
128,0.30000000000000004,0.4,
129,0.30000000000000004,0.45,
130,0.30000000000000004,0.5,
131,0.30000000000000004,0.55,
132,0.30000000000000004,0.6000000000000001,
133,0.30000000000000004,0.65,
134,0.30000000000000004,0.7000000000000001,
135,0.30000000000000004,0.75,
136,0.30000000000000004,0.8,
137,0.30000000000000004,0.8500000000000001,
138,0.30000000000000004,0.9,
139,0.30000000000000004,0.9500000000000001,
140,0.35000000000000003,0.0,-0.00029348792941813245
141,0.35000000000000003,0.05,0.020546123276318433
142,0.35000000000000003,0.1,
143,0.35000000000000003,0.15000000000000002,
144,0.35000000000000003,0.2,
145,0.35000000000000003,0.25,
146,0.35000000000000003,0.30000000000000004,
147,0.35000000000000003,0.35000000000000003,
148,0.35000000000000003,0.4,
149,0.35000000000000003,0.45,
150,0.35000000000000003,0.5,
151,0.35000000000000003,0.55,
152,0.35000000000000003,0.6000000000000001,
153,0.35000000000000003,0.65,
154,0.35000000000000003,0.7000000000000001,
155,0.35000000000000003,0.75,
156,0.35000000000000003,0.8,
157,0.35000000000000003,0.8500000000000001,
158,0.35000000000000003,0.9,
159,0.35000000000000003,0.9500000000000001,
160,0.4,0.0,-0.0009884653175287381
161,0.4,0.05,0.020546123276318433
162,0.4,0.1,
163,0.4,0.15000000000000002,
164,0.4,0.2,
165,0.4,0.25,
166,0.4,0.30000000000000004,
167,0.4,0.35000000000000003,
168,0.4,0.4,
169,0.4,0.45,
170,0.4,0.5,
171,0.4,0.55,
172,0.4,0.6000000000000001,
173,0.4,0.65,
174,0.4,0.7000000000000001,
175,0.4,0.75,
176,0.4,0.8,
177,0.4,0.8500000000000001,
178,0.4,0.9,
179,0.4,0.9500000000000001,
180,0.45,0.0,-0.0007442141566113921
181,0.45,0.05,0.020546123276318433
182,0.45,0.1,
183,0.45,0.15000000000000002,
184,0.45,0.2,
185,0.45,0.25,
186,0.45,0.30000000000000004,
187,0.45,0.35000000000000003,
188,0.45,0.4,
189,0.45,0.45,
190,0.45,0.5,
191,0.45,0.55,
192,0.45,0.6000000000000001,
193,0.45,0.65,
194,0.45,0.7000000000000001,
195,0.45,0.75,
196,0.45,0.8,
197,0.45,0.8500000000000001,
198,0.45,0.9,
199,0.45,0.9500000000000001,
200,0.5,0.0,-0.0008458441471802095
201,0.5,0.05,0.0017610686820127511
202,0.5,0.1,
203,0.5,0.15000000000000002,
204,0.5,0.2,
205,0.5,0.25,
206,0.5,0.30000000000000004,
207,0.5,0.35000000000000003,
208,0.5,0.4,
209,0.5,0.45,
210,0.5,0.5,
211,0.5,0.55,
212,0.5,0.6000000000000001,
213,0.5,0.65,
214,0.5,0.7000000000000001,
215,0.5,0.75,
216,0.5,0.8,
217,0.5,0.8500000000000001,
218,0.5,0.9,
219,0.5,0.9500000000000001,
220,0.55,0.0,-0.0010629753014809954
221,0.55,0.05,0.0017610686820127511
222,0.55,0.1,
223,0.55,0.15000000000000002,
224,0.55,0.2,
225,0.55,0.25,
226,0.55,0.30000000000000004,
227,0.55,0.35000000000000003,
228,0.55,0.4,
229,0.55,0.45,
230,0.55,0.5,
231,0.55,0.55,
232,0.55,0.6000000000000001,
233,0.55,0.65,
234,0.55,0.7000000000000001,
235,0.55,0.75,
236,0.55,0.8,
237,0.55,0.8500000000000001,
238,0.55,0.9,
239,0.55,0.9500000000000001,
240,0.6000000000000001,0.0,-0.0015869490280387393
241,0.6000000000000001,0.05,0.0017610686820127511
242,0.6000000000000001,0.1,
243,0.6000000000000001,0.15000000000000002,
244,0.6000000000000001,0.2,
245,0.6000000000000001,0.25,
246,0.6000000000000001,0.30000000000000004,
247,0.6000000000000001,0.35000000000000003,
248,0.6000000000000001,0.4,
249,0.6000000000000001,0.45,
250,0.6000000000000001,0.5,
251,0.6000000000000001,0.55,
252,0.6000000000000001,0.6000000000000001,
253,0.6000000000000001,0.65,
254,0.6000000000000001,0.7000000000000001,
255,0.6000000000000001,0.75,
256,0.6000000000000001,0.8,
257,0.6000000000000001,0.8500000000000001,
258,0.6000000000000001,0.9,
259,0.6000000000000001,0.9500000000000001,
260,0.65,0.0,-0.001442308710506603
261,0.65,0.05,0.0017610686820127511
262,0.65,0.1,
263,0.65,0.15000000000000002,
264,0.65,0.2,
265,0.65,0.25,
266,0.65,0.30000000000000004,
267,0.65,0.35000000000000003,
268,0.65,0.4,
269,0.65,0.45,
270,0.65,0.5,
271,0.65,0.55,
272,0.65,0.6000000000000001,
273,0.65,0.65,
274,0.65,0.7000000000000001,
275,0.65,0.75,
276,0.65,0.8,
277,0.65,0.8500000000000001,
278,0.65,0.9,
279,0.65,0.9500000000000001,
280,0.7000000000000001,0.0,-0.0010296857725067663
281,0.7000000000000001,0.05,0.0017610686820127511
282,0.7000000000000001,0.1,
283,0.7000000000000001,0.15000000000000002,
284,0.7000000000000001,0.2,
285,0.7000000000000001,0.25,
286,0.7000000000000001,0.30000000000000004,
287,0.7000000000000001,0.35000000000000003,
288,0.7000000000000001,0.4,
289,0.7000000000000001,0.45,
290,0.7000000000000001,0.5,
291,0.7000000000000001,0.55,
292,0.7000000000000001,0.6000000000000001,
293,0.7000000000000001,0.65,
294,0.7000000000000001,0.7000000000000001,
295,0.7000000000000001,0.75,
296,0.7000000000000001,0.8,
297,0.7000000000000001,0.8500000000000001,
298,0.7000000000000001,0.9,
299,0.7000000000000001,0.9500000000000001,
300,0.75,0.0,-0.00030454501071407327
301,0.75,0.05,0.0017610686820127511
302,0.75,0.1,
303,0.75,0.15000000000000002,
304,0.75,0.2,
305,0.75,0.25,
306,0.75,0.30000000000000004,
307,0.75,0.35000000000000003,
308,0.75,0.4,
309,0.75,0.45,
310,0.75,0.5,
311,0.75,0.55,
312,0.75,0.6000000000000001,
313,0.75,0.65,
314,0.75,0.7000000000000001,
315,0.75,0.75,
316,0.75,0.8,
317,0.75,0.8500000000000001,
318,0.75,0.9,
319,0.75,0.9500000000000001,
320,0.8,0.0,-0.0003197933761456738
321,0.8,0.05,0.0017610686820127511
322,0.8,0.1,
323,0.8,0.15000000000000002,
324,0.8,0.2,
325,0.8,0.25,
326,0.8,0.30000000000000004,
327,0.8,0.35000000000000003,
328,0.8,0.4,
329,0.8,0.45,
330,0.8,0.5,
331,0.8,0.55,
332,0.8,0.6000000000000001,
333,0.8,0.65,
334,0.8,0.7000000000000001,
335,0.8,0.75,
336,0.8,0.8,
337,0.8,0.8500000000000001,
338,0.8,0.9,
339,0.8,0.9500000000000001,
340,0.8500000000000001,0.0,-0.0007444801659343572
341,0.8500000000000001,0.05,0.0017610686820127511
342,0.8500000000000001,0.1,
343,0.8500000000000001,0.15000000000000002,
344,0.8500000000000001,0.2,
345,0.8500000000000001,0.25,
346,0.8500000000000001,0.30000000000000004,
347,0.8500000000000001,0.35000000000000003,
348,0.8500000000000001,0.4,
349,0.8500000000000001,0.45,
350,0.8500000000000001,0.5,
351,0.8500000000000001,0.55,
352,0.8500000000000001,0.6000000000000001,
353,0.8500000000000001,0.65,
354,0.8500000000000001,0.7000000000000001,
355,0.8500000000000001,0.75,
356,0.8500000000000001,0.8,
357,0.8500000000000001,0.8500000000000001,
358,0.8500000000000001,0.9,
359,0.8500000000000001,0.9500000000000001,
360,0.9,0.0,-0.00016671262875361535
361,0.9,0.05,0.0017610686820127511
362,0.9,0.1,
363,0.9,0.15000000000000002,
364,0.9,0.2,
365,0.9,0.25,
366,0.9,0.30000000000000004,
367,0.9,0.35000000000000003,
368,0.9,0.4,
369,0.9,0.45,
370,0.9,0.5,
371,0.9,0.55,
372,0.9,0.6000000000000001,
373,0.9,0.65,
374,0.9,0.7000000000000001,
375,0.9,0.75,
376,0.9,0.8,
377,0.9,0.8500000000000001,
378,0.9,0.9,
379,0.9,0.9500000000000001,
380,0.9500000000000001,0.0,-0.0006118275947971336
381,0.9500000000000001,0.05,0.0017610686820127511
382,0.9500000000000001,0.1,
383,0.9500000000000001,0.15000000000000002,
384,0.9500000000000001,0.2,
385,0.9500000000000001,0.25,
386,0.9500000000000001,0.30000000000000004,
387,0.9500000000000001,0.35000000000000003,
388,0.9500000000000001,0.4,
389,0.9500000000000001,0.45,
390,0.9500000000000001,0.5,
391,0.9500000000000001,0.55,
392,0.9500000000000001,0.6000000000000001,
393,0.9500000000000001,0.65,
394,0.9500000000000001,0.7000000000000001,
395,0.9500000000000001,0.75,
396,0.9500000000000001,0.8,
397,0.9500000000000001,0.8500000000000001,
398,0.9500000000000001,0.9,
399,0.9500000000000001,0.9500000000000001,
