,correlation_threshold,performance_threshold,mean_of_mean_performance,number_of_monthly_predictions
0,0.0,0.01,-0.0006095838170196299,7.0344827586206895
1,0.0,0.015,-0.0005272175900429752,3.611940298507463
2,0.0,0.019999999999999997,0.0018535996511946239,3.0217391304347827
3,0.0,0.024999999999999998,0.004569142142329678,2.1142857142857143
4,0.0,0.03,0.0032195225841324194,2.2083333333333335
5,0.0,0.034999999999999996,0.0019242621204338956,1.9285714285714286
6,0.0,0.039999999999999994,0.0033936608181112118,1.8181818181818181
7,0.0,0.045,0.012098614863895718,1.8571428571428572
8,0.0,0.049999999999999996,0.020546123276318433,1.6666666666666667
9,0.0,0.05499999999999999,0.0581162324649298,1.0
10,0.01,0.01,-0.0006035003849030772,6.942528735632184
11,0.01,0.015,-0.0006115533052687295,3.5970149253731343
12,0.01,0.019999999999999997,0.0017317902898799336,3.0
13,0.01,0.024999999999999998,0.004423765054134536,2.085714285714286
14,0.01,0.03,0.0029376801367403233,2.1666666666666665
15,0.01,0.034999999999999996,0.0019242621204338956,1.9285714285714286
16,0.01,0.039999999999999994,0.0033936608181112118,1.8181818181818181
17,0.01,0.045,0.012098614863895718,1.8571428571428572
18,0.01,0.049999999999999996,0.020546123276318433,1.6666666666666667
19,0.01,0.05499999999999999,0.0581162324649298,1.0
20,0.02,0.01,-0.000513845519184051,6.839080459770115
21,0.02,0.015,-0.00044222505341285316,3.582089552238806
22,0.02,0.019999999999999997,0.0020723411445386494,2.9782608695652173
23,0.02,0.024999999999999998,0.004423765054134536,2.085714285714286
24,0.02,0.03,0.0029376801367403233,2.1666666666666665
25,0.02,0.034999999999999996,0.0019242621204338956,1.9285714285714286
26,0.02,0.039999999999999994,0.0033936608181112118,1.8181818181818181
27,0.02,0.045,0.012098614863895718,1.8571428571428572
28,0.02,0.049999999999999996,0.020546123276318433,1.6666666666666667
29,0.02,0.05499999999999999,0.0581162324649298,1.0
30,0.03,0.01,-0.0003815051080550763,6.781609195402299
31,0.03,0.015,-0.00044222505341285316,3.582089552238806
32,0.03,0.019999999999999997,0.0020723411445386494,2.9782608695652173
33,0.03,0.024999999999999998,0.004423765054134536,2.085714285714286
34,0.03,0.03,0.0029376801367403233,2.1666666666666665
35,0.03,0.034999999999999996,0.0019242621204338956,1.9285714285714286
36,0.03,0.039999999999999994,0.0033936608181112118,1.8181818181818181
37,0.03,0.045,0.012098614863895718,1.8571428571428572
38,0.03,0.049999999999999996,0.020546123276318433,1.6666666666666667
39,0.03,0.05499999999999999,0.0581162324649298,1.0
40,0.04,0.01,-0.00040441376923163315,6.616279069767442
41,0.04,0.015,-0.0003624149956440013,3.4477611940298507
42,0.04,0.019999999999999997,0.0021353596527221887,2.869565217391304
43,0.04,0.024999999999999998,0.004583192179479484,1.9428571428571428
44,0.04,0.03,0.003142447121843419,2.0434782608695654
45,0.04,0.034999999999999996,0.0019242621204338956,1.9285714285714286
46,0.04,0.039999999999999994,0.0033936608181112118,1.8181818181818181
47,0.04,0.045,0.012098614863895718,1.8571428571428572
48,0.04,0.049999999999999996,0.020546123276318433,1.6666666666666667
49,0.04,0.05499999999999999,0.0581162324649298,1.0
50,0.05,0.01,-0.00040441376923163315,6.616279069767442
51,0.05,0.015,-0.0003624149956440013,3.4477611940298507
52,0.05,0.019999999999999997,0.0021353596527221887,2.869565217391304
53,0.05,0.024999999999999998,0.004583192179479484,1.9428571428571428
54,0.05,0.03,0.003142447121843419,2.0434782608695654
55,0.05,0.034999999999999996,0.0019242621204338956,1.9285714285714286
56,0.05,0.039999999999999994,0.0033936608181112118,1.8181818181818181
57,0.05,0.045,0.012098614863895718,1.8571428571428572
58,0.05,0.049999999999999996,0.020546123276318433,1.6666666666666667
59,0.05,0.05499999999999999,0.0581162324649298,1.0
60,0.06,0.01,-0.00036535765445792987,6.604651162790698
61,0.06,0.015,-0.0003624149956440013,3.4477611940298507
62,0.06,0.019999999999999997,0.0021353596527221887,2.869565217391304
63,0.06,0.024999999999999998,0.004583192179479484,1.9428571428571428
64,0.06,0.03,0.003142447121843419,2.0434782608695654
65,0.06,0.034999999999999996,0.0019242621204338956,1.9285714285714286
66,0.06,0.039999999999999994,0.0033936608181112118,1.8181818181818181
67,0.06,0.045,0.012098614863895718,1.8571428571428572
68,0.06,0.049999999999999996,0.020546123276318433,1.6666666666666667
69,0.06,0.05499999999999999,0.0581162324649298,1.0
70,0.07,0.01,-0.00032509732219563995,6.546511627906977
71,0.07,0.015,-0.0003624149956440013,3.4477611940298507
72,0.07,0.019999999999999997,0.0021353596527221887,2.869565217391304
73,0.07,0.024999999999999998,0.004583192179479484,1.9428571428571428
74,0.07,0.03,0.003142447121843419,2.0434782608695654
75,0.07,0.034999999999999996,0.0019242621204338956,1.9285714285714286
76,0.07,0.039999999999999994,0.0033936608181112118,1.8181818181818181
77,0.07,0.045,0.012098614863895718,1.8571428571428572
78,0.07,0.049999999999999996,0.020546123276318433,1.6666666666666667
79,0.07,0.05499999999999999,0.0581162324649298,1.0
80,0.08,0.01,-0.00027728903288964897,6.476744186046512
81,0.08,0.015,-0.0003624149956440013,3.4477611940298507
82,0.08,0.019999999999999997,0.0021353596527221887,2.869565217391304
83,0.08,0.024999999999999998,0.004583192179479484,1.9428571428571428
84,0.08,0.03,0.003142447121843419,2.0434782608695654
85,0.08,0.034999999999999996,0.0019242621204338956,1.9285714285714286
86,0.08,0.039999999999999994,0.0033936608181112118,1.8181818181818181
87,0.08,0.045,0.012098614863895718,1.8571428571428572
88,0.08,0.049999999999999996,0.020546123276318433,1.6666666666666667
89,0.08,0.05499999999999999,0.0581162324649298,1.0
90,0.09,0.01,-0.00025048872525275563,6.453488372093023
91,0.09,0.015,-0.0003624149956440013,3.4477611940298507
92,0.09,0.019999999999999997,0.0021353596527221887,2.869565217391304
93,0.09,0.024999999999999998,0.004583192179479484,1.9428571428571428
94,0.09,0.03,0.003142447121843419,2.0434782608695654
95,0.09,0.034999999999999996,0.0019242621204338956,1.9285714285714286
96,0.09,0.039999999999999994,0.0033936608181112118,1.8181818181818181
97,0.09,0.045,0.012098614863895718,1.8571428571428572
98,0.09,0.049999999999999996,0.020546123276318433,1.6666666666666667
99,0.09,0.05499999999999999,0.0581162324649298,1.0
