,k_percent,mean_of_mean_performance,number_of_monthly_predictions
0,1,-0.0004401873039329459,25.47222222222222
1,2,-0.0004401873039329459,25.47222222222222
2,5,-0.0010529819017470784,35.870370370370374
3,10,-0.0006355675849010447,49.425925925925924
4,15,-0.0007246364082502944,60.592592592592595
5,20,-0.0008211285769480639,67.6574074074074
6,25,-0.0010621643766888266,74.70370370370371
7,50,-0.000880459561488725,100.16666666666667
8,75,-0.001048754240531509,139.5462962962963
9,100,-0.0012020692985216558,245.5648148148148
