,k_percent,mean_of_mean_performance,number_of_monthly_predictions,combined_metric
0,1.0,0.000786564440155997,9.966666666666667,0.003852758920221436
1,1.5,0.000786564440155997,9.966666666666667,0.003852758920221436
2,2.0,0.000786564440155997,9.966666666666667,0.003852758920221436
3,2.5,0.0007977840149651757,12.683333333333334,0.005045227256474979
4,3.0,0.001840739110184925,17.533333333333335,0.025260959065242356
5,3.5,0.001159670166296943,19.166666666666668,0.014560344854024743
6,4.0,0.001159670166296943,19.166666666666668,0.014560344854024743
7,4.5,0.001159670166296943,19.166666666666668,0.014560344854024743
8,5.0,0.001295611728462582,19.733333333333334,0.017673404774994954
9,5.5,0.000870966518898231,20.683333333333334,0.009741157499211743
10,6.0,0.0006177855820684151,21.45,0.004671500735367503
11,6.5,0.0011285584423776026,22.966666666666665,0.016732558893272274
12,7.0,0.0012504719688414263,23.033333333333335,0.019589204348980854
13,7.5,0.0013148907992004844,24.066666666666666,0.022018371900758324
14,8.0,0.0011699547540812013,27.1,0.020865773835600558
15,8.5,0.0011618632026136329,27.166666666666668,0.020697283671003694
16,9.0,0.0009531604345824666,30.133333333333333,0.016668567762084995
17,9.5,0.0008967461440426387,31.6,0.01569717815174738
18,10.0,0.0013276414747379994,32.13333333333333,0.02980821272158105
19,10.5,0.0015489461560627752,32.7,0.03757053930325275
20,11.0,0.0015352559747650138,33.81666666666667,0.038390572879970226
21,11.5,0.0014481876237693162,34.0,0.035638379208156754
22,12.0,0.0008623236851619929,36.4,0.01682858213989654
23,12.5,0.0009557145593225765,37.2,0.020672581606799845
24,13.0,0.0014279536566056683,38.03333333333333,0.03909650407290225
25,13.5,0.000990293557545862,38.46666666666667,0.022706625513597496
26,14.0,0.0009543995098021758,38.71666666666667,0.021464501021174243
27,14.5,0.0012180015742582952,38.93333333333333,0.031847527957789626
28,15.0,0.0016434642266749866,39.2,0.04874379768565948
29,15.5,0.001680533379472701,41.06666666666667,0.052587237450345596
30,16.0,0.0014844653677528925,41.55,0.045059536030132685
31,16.5,0.0014545758872240733,41.583333333333336,0.043852780643734386
32,17.0,0.0011499340327399878,41.96666666666667,0.03147223157398816
33,17.5,0.0010077493665437089,42.11666666666667,0.025596377487599208
34,18.0,0.0008948318163749439,42.6,0.021079835377572607
35,18.5,0.0007322153763827785,44.11666666666667,0.014656235021420244
36,19.0,0.0009189126738577192,44.63333333333333,0.02316080234318287
37,19.5,0.0009027053269534566,44.75,0.022496063381167178
38,20.0,0.0009027053269534566,44.75,0.022496063381167178
39,20.5,0.0008157210935221341,44.85,0.018645091044467713
40,21.0,0.0008385222693534767,45.21666666666667,0.01982851527926637
41,21.5,0.000549655452034692,45.65,0.006831771385383691
42,22.0,0.0004300984955541448,46.36666666666667,0.001395566910527181
43,22.5,0.00043843124230095727,46.38333333333333,0.0017825691220594005
44,23.0,0.0002661615864387261,46.983333333333334,-0.006288174797153854
45,23.5,0.00020402868434498268,47.71666666666667,-0.009351097945338577
46,24.0,7.601657419549039e-05,48.85,-0.015826590350550295
47,24.5,8.646951421044984e-06,49.38333333333333,-0.01932631804899073
48,25.0,8.646951421044984e-06,49.38333333333333,-0.01932631804899073
