k_percent,avg_monthly_return,avg_trades_per_month,final_corpus_value,mean_performance
1.0,-0.010526939138246741,11.72549019607843,1.001540340685036,0.0007865644401559968
1.5,-0.010526939138246741,11.72549019607843,1.001540340685036,0.0007865644401559968
2.0,-0.010526939138246741,11.72549019607843,1.001540340685036,0.0007865644401559968
2.5,-0.01302498979108302,14.634615384615385,1.001540340685036,0.0006944979991981861
3.0,-0.010500850882240852,18.785714285714285,1.098890013763467,0.0028083000503580364
3.5,-0.013645196193979196,19.491525423728813,1.098890013763467,0.0017933027693885367
4.0,-0.013645196193979196,19.491525423728813,1.098890013763467,0.0017933027693885367
4.5,-0.013645196193979196,19.491525423728813,1.098890013763467,0.0017933027693885367
5.0,-0.014296963168129515,20.06779661016949,1.098890013763467,0.0018197446306973074
5.5,-0.016256836639370633,20.683333333333334,1.098890013763467,0.001664083369989835
6.0,-0.01853268485967792,21.45,1.098890013763467,0.0011359552200626982
6.5,-0.01848977214174726,22.966666666666665,1.098890013763467,0.0009157246055620019
7.0,-0.017677104713708317,23.033333333333335,1.098890013763467,0.0011594491718537622
7.5,-0.017123715340955605,24.066666666666666,1.098890013763467,0.0012119362971204056
8.0,-0.021668444735989327,27.1,1.098890013763467,0.001450859388519404
8.5,-0.021560927622399174,27.166666666666668,1.098890013763467,0.0014497197389812472
9.0,-0.023948854456444294,30.133333333333333,1.1062572436632436,0.0007620044832332432
9.5,-0.024202536809449334,31.6,1.1062572436632436,0.0008608797160126585
10.0,-0.022765233935547316,32.13333333333333,1.1062572436632436,0.0009823245159049855
10.5,-0.022671259599530914,32.7,1.1062572436632436,0.0010605335754815283
11.0,-0.022201041691889554,33.81666666666667,1.1062572436632436,0.0011398338471957246
11.5,-0.02239779467719505,34.0,1.1062572436632436,0.001124990909439308
12.0,-0.027749788803385963,36.4,1.0669071748440833,0.0008759542678926888
12.5,-0.02835913626761781,37.2,1.0669071748440833,0.0008677513686033166
13.0,-0.027042299565379038,38.03333333333333,1.0669071748440833,0.001656150773711928
13.5,-0.028506750356949054,38.46666666666667,1.0669071748440833,0.0015169306670714626
14.0,-0.030255757678323007,38.71666666666667,1.0669071748440833,0.0014436738696095204
14.5,-0.030235424716190173,38.93333333333333,1.0669071748440833,0.0014848441037699
15.0,-0.02870610325176524,39.2,1.0669071748440833,0.0016883375621994318
15.5,-0.0294933103932516,41.06666666666667,1.0669071748440833,0.0015832902197732226
16.0,-0.029991332402868897,41.55,1.0669071748440833,0.0015453242598036205
16.5,-0.030049305436660005,41.583333333333336,1.0669071748440833,0.001544468117528552
17.0,-0.031502914711242655,41.96666666666667,1.0669071748440833,0.0014207539617946687
17.5,-0.032507272295846254,42.11666666666667,1.0669071748440833,0.0012990697070138528
18.0,-0.032919793488193155,42.6,1.047346707893089,0.0005964724539631642
18.5,-0.03532540141074352,44.11666666666667,1.047346707893089,0.0005399944395631719
19.0,-0.03344972355815104,44.63333333333333,1.047346707893089,0.000704112392665664
19.5,-0.03314650096714177,44.75,1.047346707893089,0.0007363553672327831
20.0,-0.03314650096714177,44.75,1.047346707893089,0.0007363553672327831
20.5,-0.03305483954683023,44.85,1.047346707893089,0.0007321860244656641
21.0,-0.0335204075541837,45.21666666666667,1.0210169066568342,0.0007535874492254616
21.5,-0.03445751010203981,45.65,1.0210169066568342,0.0007128230797842194
22.0,-0.035812889393982236,46.36666666666667,1.0210169066568342,0.0006471987831789854
22.5,-0.035846837122516344,46.38333333333333,1.0210169066568342,0.0006489218973376299
23.0,-0.036485149473779926,46.983333333333334,1.0210169066568342,0.0005847505496926913
23.5,-0.03639093821672371,47.71666666666667,1.0210169066568342,0.00027836845854617784
24.0,-0.0372914309142061,48.85,1.0210169066568342,3.9695427357329367e-05
24.5,-0.03623638137054145,49.38333333333333,1.0210169066568342,6.570694334070836e-05
25.0,-0.03623638137054145,49.38333333333333,1.0210169066568342,6.570694334070836e-05
