k_percent,avg_monthly_predictions,avg_mean_performance,avg_combined_metric,avg_corpus_return
1.0,1.392156862745098,0.0007865644401559968,0.02319386640935978,-0.3545516832007667
1.5,1.392156862745098,0.0007865644401559968,0.02319386640935978,-0.3545516832007667
2.0,1.392156862745098,0.0007865644401559968,0.02319386640935978,-0.3545516832007667
2.5,1.6538461538461537,0.0006944979991981861,0.017669879951891145,-0.42392186849572083
3.0,2.0535714285714284,0.0028083000503580364,0.1444980030214822,-0.41049523575677327
3.5,2.0,0.0017933027693885367,0.08359816616331221,-0.5595622183136194
4.0,2.0,0.0017933027693885367,0.08359816616331221,-0.5595622183136194
4.5,2.0,0.0017933027693885367,0.08359816616331221,-0.5595622183136194
5.0,2.016949152542373,0.0018197446306973074,0.08518467784183846,-0.5498842251235356
5.5,2.033333333333333,0.001664083369989835,0.07584500219939008,-0.5800581333703417
6.0,1.9833333333333334,0.0011359552200626982,0.044157313203761886,-0.6782345300892705
6.5,2.0,0.0009157246055620019,0.030943476333720122,-0.6901830518470282
7.0,2.0,0.0011594491718537622,0.04556695031122573,-0.6635267991326771
7.5,2.1666666666666665,0.0012119362971204056,0.048716177827224344,-0.6444624734208
8.0,2.1666666666666665,0.001450859388519404,0.06305156331116425,-0.8684070041631038
8.5,2.1666666666666665,0.0014497197389812472,0.06298318433887484,-0.8691736059447523
9.0,2.2333333333333334,0.0007620044832332432,0.021720268993994565,-1.0060942951147698
9.5,2.283333333333333,0.0008608797160126585,0.0276527829607595,-1.0659619860533194
10.0,2.283333333333333,0.0009823245159049855,0.03493947095429914,-0.9911407011182559
10.5,2.3,0.0010605335754815283,0.039632014528891694,-1.0219929009335478
11.0,2.45,0.0011398338471957246,0.044390030831743504,-0.9805993688506227
11.5,2.45,0.001124990909439308,0.04349945456635849,-1.009328809461211
12.0,2.5166666666666666,0.0008759542678926888,0.028557256073561323,-1.1597379677502648
12.5,2.5833333333333335,0.0008677513686033166,0.028065082116199,-1.1813838396658678
13.0,2.6,0.001656150773711928,0.07536904642271568,-1.1476990554603277
13.5,2.6,0.0015169306670714626,0.06701584002428776,-1.1975408080766854
14.0,2.716666666666667,0.0014436738696095204,0.06262043217657122,-1.259646549400012
14.5,2.716666666666667,0.0014848441037699,0.065090646226194,-1.186899777036548
15.0,2.7333333333333334,0.0016883375621994318,0.07730025373196595,-1.113158049088923
15.5,2.7666666666666666,0.0015832902197732226,0.0709974131863934,-1.0890737229469918
16.0,2.7666666666666666,0.0015453242598036205,0.06871945558821727,-1.1403950639103675
16.5,2.7666666666666666,0.001544468117528552,0.06866808705171316,-1.1458179494825067
17.0,2.7666666666666666,0.0014207539617946687,0.06124523770768013,-1.301476246420059
17.5,2.7666666666666666,0.0012990697070138528,0.05394418242083118,-1.3396994697734994
18.0,2.783333333333333,0.0005964724539631642,0.011788347237789843,-1.3012655613358772
18.5,2.8666666666666667,0.0005399944395631719,0.008399666373790297,-1.4072214226841557
19.0,2.8666666666666667,0.000704112392665664,0.01824674355993983,-1.3011443022802893
19.5,2.8666666666666667,0.0007363553672327831,0.020181322033966984,-1.2824751245340165
20.0,2.8666666666666667,0.0007363553672327831,0.020181322033966984,-1.2824751245340165
20.5,2.8666666666666667,0.0007321860244656641,0.01993116146793984,-1.2868602915943046
21.0,2.6,0.0007535874492254616,0.021215246953527677,-1.2916335913736336
21.5,2.6166666666666667,0.0007128230797842194,0.018769384787053162,-1.3606924122973014
22.0,2.6,0.0006471987831789854,0.014831926990739125,-1.4106755562466302
22.5,2.6,0.0006489218973376299,0.014935313840257789,-1.4095612293805864
23.0,2.6166666666666667,0.0005847505496926913,0.011085032981561476,-1.4330986372349521
23.5,2.6166666666666667,0.00027836845854617784,-0.007297892487229309,-1.4125079464960366
24.0,2.7666666666666666,3.9695427357329367e-05,-0.02161827435856022,-1.5592233072447288
24.5,2.7666666666666666,6.570694334070836e-05,-0.020057583399557478,-1.536730195805283
25.0,2.7666666666666666,6.570694334070836e-05,-0.020057583399557478,-1.536730195805283
