year_month,mean_performance,num_predictions,combined_metric,corpus_return
2018-01,-0.0015255423969698996,110,-0.21180966366668896,-0.01235579861402969
2018-02,-0.00048301758255345857,187,-0.16512428793749676,-0.014488541371399766
2018-03,0.0007358890685240744,16,0.0053742250963851905,0.0013435562740962137
2018-04,0.005875241463141839,63,0.34494021217793586,0.05770859388487559
2018-05,-0.001442447081448664,112,-0.20635407312225035,-0.02495274467355746
2018-06,-0.004495969261847093,15,-0.0734395389277064,-0.018359884731926623
2018-07,0.0005628220149354862,35,0.005698770522742015,-0.00593401241174063
2018-08,0.00047720117131697993,100,0.007720117131697991,0.008146723938869727
2018-09,-0.014617314639690867,18,-0.2703116635144356,-0.06626136530406923
2018-10,0.0034021341587570646,86,0.25818353765310753,0.002201871122046617
2018-11,-0.00916313690398157,82,-0.7841772261264888,-0.10212536462530408
2018-12,0.0721367521367522,1,0.07173675213675221,0.017934188034188114
2019-01,-0.005744816732962108,11,-0.0675929840625832,-0.016898246015645824
2019-02,0.012378922785660261,8,0.0958313822852821,0.023957845571320524
2019-03,0.00169625651765218,5,0.0064812825882609,0.0016203206470652987
2019-04,-0.0025735332496523407,21,-0.06244419824269916,-0.015611049560674939
2019-05,0.009874326453219735,26,0.24633248778371314,0.05084266659363146
2019-06,0.0129854228011076,9,0.1132688052099684,0.028317201302492157
2019-07,-0.011239585265545398,67,-0.7798522127915416,-0.13376579084834062
2019-08,0.0027054942155859615,60,0.13832965293515767,0.02402337629405915
2019-09,0.014503668304539724,9,0.12693301474085752,0.031733253685214624
2019-10,-0.005711430708834804,28,-0.17112005984737452,-0.01339939882192076
2019-11,-0.0006304934844019017,57,-0.0587381286109084,-0.003803629350875748
2019-12,0.00016227059095138188,17,-0.0040413999538265084,-0.0010103499884567269
2020-01,-8.002275174707975e-05,29,-0.013920659800665314,-0.009330380769083546
2020-02,-0.0020144589174297504,71,-0.1714265831375123,-0.023642825367042097
2020-03,-0.0015344022055810878,17,-0.03288483749487849,-0.008221209373719396
2020-04,0.010065773787341794,49,0.47362291557974795,0.07971510379143787
2020-05,-0.005707365136821797,80,-0.48858921094574376,-0.10771901906949555
2020-06,7.93087736835595e-05,63,-0.020203547257935755,-0.009525641639298477
2020-07,-0.005186510388638544,128,-0.7150733297457337,-0.08334428655621995
2020-08,-0.006398279932612976,22,-0.14956215851748547,-0.03739053962937133
2020-09,0.015681822058185257,7,0.1069727544072968,0.026743188601823897
2020-10,-0.0024719908223949484,59,-0.16944745852130197,-0.021145505399037035
2020-11,-0.002839004145130928,80,-0.25912033161047426,-0.04068471075631608
2020-12,0.0031856074610408427,21,0.05849775668185769,0.014793214369661412
2021-01,-0.001358723387488041,20,-0.035174467749760824,-0.008793616937440296
2021-02,-0.008076776099662801,38,-0.3221174917871864,-0.08363856159099436
2021-03,0.003223193273087027,15,0.0423478990963054,0.0187587366333255
2021-04,-0.012641004134712523,8,-0.10432803307770018,-0.026082008269425083
2021-05,-0.0027643583493087154,32,-0.1012594671778789,-0.021913030292947666
2021-06,-0.0042991780127099545,35,-0.1644712304448484,-0.04038177358237094
2021-07,-0.005502040801607701,21,-0.12394285683376172,-0.02959873879372288
2021-08,0.0003140165047424038,28,-0.0024075378672126935,-0.0002548483482355257
2021-09,0.0444773570285279,2,0.0881547140570558,0.022038678514263887
2021-10,0.012369595777265973,14,0.16757434088172363,0.038002220563299494
2021-11,-0.006933411253611873,37,-0.2713362163836393,-0.06560339145858307
2021-12,-0.00330603835705656,10,-0.037060383570565604,-0.009265095892641462
2022-01,0.005069912003400667,18,0.084058416061212,0.02101460401530275
2022-02,-0.0006147537652209586,27,-0.027398351660965884,-0.006849587915241151
2022-03,0.003296344671449082,10,0.02896344671449082,0.007240861678622812
2022-04,-0.0036054349543539815,27,-0.10814674376755751,-0.03609352611390837
2022-05,-0.0001667984853614758,29,-0.0164371560754828,-0.004109289018870532
2022-06,-0.005593777321526013,18,-0.10788799178746823,-0.022399451240034507
2022-07,0.0005680852818476634,22,0.0036978762006485955,-0.0009338191922975136
2022-08,0.0059611013108312495,18,0.10009982359496249,0.024625876387956103
2022-09,-0.004188858441443019,17,-0.07801059350453132,-0.019502648376132803
2022-10,-0.0034789824736177633,27,-0.10473252678767961,-0.01306954678382044
2022-11,-0.002435131743879384,98,-0.27784291090017965,-0.034006652597386666
2022-12,0.008336323308224007,12,0.09523587969868809,0.02380896992467174
