k_percent,date,author,expected_return,actual_return,signed_direction,allocation_per_trade,trade_return,corpus_before_day,corpus_after_day
15.5,2022-05-02,Edelweiss,24.533001245330016,-0.0521289918597369,1.0,0.25,-0.013132247964934224,1.0,0.9868677520350658
15.5,2022-05-03,Edelweiss,35.88259743581546,-0.0074285714285714,1.0,0.25,-0.00195714285714285,0.9868677520350658,0.9775765666247316
15.5,2022-05-03,Edelweiss,21.99189897545866,-0.0289361702127658,1.0,0.25,-0.00733404255319145,0.9868677520350658,0.9775765666247316
15.5,2022-05-04,CD Equisearch,32.0631606420462,-0.0022135416666667,1.0,0.25,-0.000653385416666675,0.9775765666247316,0.9769231812080649
15.5,2022-05-10,Edelweiss,26.02407201375543,-0.0122727272727272,1.0,0.25,-0.0031681818181818,0.9769231812080649,0.9865546796456784
15.5,2022-05-10,Edelweiss,14.54677878567172,0.0515987210231814,1.0,0.25,0.012799680255795351,0.9769231812080649,0.9865546796456784
15.5,2022-05-12,Edelweiss,29.57037192467083,0.0033157894736841,1.0,0.25,0.000728947368421025,0.9865546796456784,1.0006116651725399
15.5,2022-05-12,AUM Capital,35.15509601181683,0.0537121526337619,1.0,0.25,0.013328038158440476,0.9865546796456784,1.0006116651725399
15.5,2022-05-13,Edelweiss,18.97833818299386,0.0481720430107526,1.0,0.25,0.01194301075268815,1.0006116651725399,1.012554675925228
15.5,2022-05-14,Edelweiss,39.53331988433865,-0.0343636363636363,1.0,0.25,-0.008690909090909074,1.012554675925228,1.014752354126114
15.5,2022-05-14,Edelweiss,30.72924870058277,0.0439543491671807,1.0,0.25,0.010888587291795175,1.012554675925228,1.014752354126114
15.5,2022-05-16,Edelweiss,15.586625240420185,-0.0066901408450704,1.0,0.25,-0.0017725352112676,1.014752354126114,1.0129798189148465
15.5,2022-05-17,Edelweiss,37.81321184510251,-0.0163767788570137,1.0,0.25,-0.0041941947142534255,1.0129798189148465,1.0039883739777309
15.5,2022-05-17,Edelweiss,18.89774793677438,-0.0187890008914488,1.0,0.25,-0.0047972502228622,1.0129798189148465,1.0039883739777309
15.5,2022-05-18,Edelweiss,40.38015762633287,-0.0125311720698253,1.0,0.25,-0.003232793017456325,1.0039883739777309,1.0094491990816343
15.5,2022-05-18,Edelweiss,36.47014715530976,0.0120982986767485,1.0,0.25,0.002924574669187125,1.0039883739777309,1.0094491990816343
15.5,2022-05-18,Edelweiss,12.173234490831051,0.0234761738086903,1.0,0.25,0.005769043452172575,1.0039883739777309,1.0094491990816343
15.5,2022-05-19,Edelweiss,44.14019715224535,-0.0129828326180257,1.0,0.25,-0.0033457081545064248,1.0094491990816343,1.0061034909271278
15.5,2022-05-20,Edelweiss,49.303251493032526,-0.013535820402773,1.0,0.25,-0.0034839551006932497,1.0061034909271278,1.0026195358264345
15.5,2022-05-21,Edelweiss,45.200919394467775,0.0011006289308176,1.0,0.25,0.00017515723270440002,1.0026195358264345,1.002794693059139
15.5,2022-05-23,CD Equisearch,21.916338934572764,-0.0237347294938918,1.0,0.25,-0.00603368237347295,1.002794693059139,0.996761010685666
15.5,2022-05-25,Edelweiss,45.518044237485455,-0.0084745762711866,1.0,0.25,-0.00221864406779665,0.996761010685666,0.9925573129985664
15.5,2022-05-25,Edelweiss,29.133681432822417,-0.0075402144772117,1.0,0.25,-0.001985053619302925,0.996761010685666,0.9925573129985664
15.5,2022-05-26,Edelweiss,44.18632570982651,0.017032967032967,1.0,0.25,0.00415824175824175,0.9925573129985664,0.9967155547568082
15.5,2022-05-27,Edelweiss,13.944043321299644,0.0335214446952596,1.0,0.25,0.0082803611738149,0.9967155547568082,1.0127068841018583
15.5,2022-05-27,Edelweiss,46.75052410901468,0.0441801619433199,1.0,0.25,0.010945040485829975,0.9967155547568082,1.0127068841018583
15.5,2022-05-27,Edelweiss,25.45042039236622,-0.0125362892583795,1.0,0.25,-0.0032340723145948746,0.9967155547568082,1.0127068841018583
15.5,2022-05-28,Edelweiss,38.07086994303369,-0.0353333333333333,1.0,0.25,-0.008933333333333324,1.0127068841018583,1.003773550768525
15.5,2022-05-31,Edelweiss,30.372097303598267,-0.0311313591495823,1.0,0.25,-0.007882839787395575,1.003773550768525,0.9958907109811295
