month,mean_performance,count,corpus_return,monthly_combined,k_percent
2021-01-01,-0.0003275071866541947,20,-0.008793616937440296,-0.014550143733083895,15.5
2021-02-01,-0.005561506212262834,38,-0.08363856159099436,-0.2265372360659877,15.5
2021-03-01,0.009861172221899712,15,0.0187587366333255,0.1419175833284957,15.5
2021-04-01,-0.008360749166024134,8,-0.026082008269425083,-0.07008599332819307,15.5
2021-05-01,0.003181574624766243,32,-0.021913030292947666,0.08901038799251977,15.5
2021-06-01,-0.0006832123030971873,35,-0.04038177358237094,-0.037912430608401555,15.5
2021-07-01,0.00010577974113310136,21,-0.02959873879372288,-0.006178625436204872,15.5
2021-08-01,-0.000319848405106036,28,-0.0002548483482355257,-0.020155755342969008,15.5
2021-09-01,0.0444773570285279,2,0.022038678514263887,0.0881547140570558,15.5
2021-10-01,0.015739498715015534,14,0.038002220563299494,0.21475298201021747,15.5
2021-11-01,-0.01632528130543844,37,-0.06560339145858307,-0.6188354083012223,15.5
2021-12-01,0.00314520508252758,10,-0.009265095892641462,0.027452050825275798,15.5
2022-01-01,-0.001095174422798803,18,0.02101460401530275,-0.026913139610378455,15.5
2022-02-01,-0.007499779970552173,27,-0.006849587915241151,-0.21329405920490865,15.5
2022-03-01,0.004971697222711567,10,0.007240861678622812,0.04571697222711567,15.5
2022-04-01,-0.0017952076866991115,27,-0.03609352611390837,-0.05927060754087601,15.5
2022-05-01,0.013161376997972601,29,-0.004109289018870532,0.37007993294120545,15.5
2022-06-01,-0.002978939552754483,18,-0.022399451240034507,-0.0608209119495807,15.5
2022-07-01,-0.0005418945197090334,22,-0.0009338191922975136,-0.020721679433598733,15.5
2022-08-01,0.006369910449342091,26,0.04267557141775913,0.15521767168289435,15.5
2022-09-01,0.002179740189974571,19,-0.00613158696479732,0.03381506360951685,15.5
2022-10-01,-0.00110764612861897,27,-0.01306954678382044,-0.04070644547271219,15.5
2022-11-01,-0.0036326758507095247,98,-0.034006652597386666,-0.3952022333695334,15.5
2022-12-01,0.008640265053223512,12,0.02380896992467174,0.09888318063868215,15.5
