Sector,author,correlation
Agriculture,Karvy,0.6852936487416489
Agriculture,Dolat Capital,0.5002738804663631
Agriculture,Motilal Oswal,0.19110508168922813
Agriculture,Axis Direct,0.027960910554292742
Agriculture,Chola Wealth Direct,0.007635634855493934
Agriculture,Geojit BNP Paribas,-0.11464940662264855
Agriculture,ICICI Securities Limited,-0.15223280978292536
Agriculture,ICICI Direct,-0.960740510105807
Consumer Goods,Way2Wealth,1.0000000000000004
Consumer Goods,Systematix Group,1.0000000000000002
Consumer Goods,Keynotes Financial Opiniery,0.9881349434020109
Consumer Goods,SBI Securities,0.7531880199984137
Consumer Goods,Arihant Capital,0.7302121086055131
Consumer Goods,Anand Rathi,0.5188061266822405
Consumer Goods,CD Equisearch,0.4025308815203971
Consumer Goods,Ashika Research,0.2576044329838309
Consumer Goods,Edelweiss,0.22815756290584702
Consumer Goods,ICICI Direct,0.05914321105238828
Energy,Anand Rathi,1.0000000000000002
Energy,Choice India,1.0
Energy,LKP Securities,0.9858015570319953
Energy,Rudra Shares and Stock Brokers Ltd,0.9714652587199217
Energy,SBI Securities,0.970079538941197
Energy,Monarch Networth Capital Limited,0.9627040993662309
Energy,Yes Securities,0.7399638920181549
Energy,Bonanza,0.641371756628458
Energy,Ventura,0.4144058867089954
Energy,Chola Wealth Direct,0.3247934055473995
Finance,Joindre Capital Services,0.5681772188992987
Finance,CD Equisearch,0.3542480054882275
Finance,Choice India,0.2651819568806763
Finance,Kotak Securities,0.21677849379358582
Finance,Dolat Capital,0.13149954993746366
Finance,Phillip Capital,0.12383366240547676
Finance,Bonanza,0.056361319529720275
Finance,Keynote Capitals Ltd,0.04801302232667506
Finance,Reliance Securities,0.022185003868271127
Finance,Ventura,0.02033941850331295
Healthcare,Keynotes Financial Opiniery,1.0000000000000002
Healthcare,Systematix Group,1.0
Healthcare,Joindre Capital Services,0.9701527851353983
Healthcare,SPA Research,0.6352709130239401
Healthcare,FundsIndia,0.5275706630833527
Healthcare,Way2Wealth,0.520031770990775
Healthcare,Bonanza,0.5034607786938525
Healthcare,AUM Capital,0.39240369707527945
Healthcare,Religare,0.22028467880135413
Healthcare,ICICI Direct,0.21225004655091703
Manufacturing,IIFL Holdings,1.000000000000222
Manufacturing,Keynotes Financial Opiniery,0.83418768854482
Manufacturing,FundsIndia,0.789850307748817
Manufacturing,Systematix Group,0.5076523131726294
Manufacturing,Dynamic Levels,0.48541974816984335
Manufacturing,Choice India,0.4036186893185463
Manufacturing,Yes Securities,0.33954483052065
Manufacturing,Emkay,0.22543221464069987
Manufacturing,SBI Securities,0.2023026822755982
Manufacturing,Kotak Securities,0.1886020444543697
Real Estate,Keynote Capitals Ltd,1.000000000000002
Real Estate,Khambatta Securities,1.0000000000000004
Real Estate,Yes Securities,1.0000000000000002
Real Estate,Edelweiss,0.9999999999999998
Real Estate,Prabhudas Lilladhar,0.5531382828438952
Real Estate,ICICI Securities Limited,0.46906862459800974
Real Estate,Centrum Broking,0.3258678650400557
Real Estate,Phillip Capital,0.25756309910533837
Real Estate,Motilal Oswal,0.1399711798495824
Real Estate,HDFC Securities,-0.052867884513378725
Retail,Anand Rathi,1.0000000000000002
Retail,Motilal Oswal,0.7219261398292908
Retail,BOB Capital Markets Ltd.,0.5849841425910067
Retail,Keynote Capitals Ltd,0.26665937712692056
Retail,Axis Direct,-0.1477828481419494
Retail,ICICI Securities Limited,-0.5332876521981673
Technology,Ajcon Global,1.0000000000000002
Technology,East India Securities Ltd,0.963176738332338
Technology,Keynotes Financial Opiniery,0.8491789257567404
Technology,FundsIndia,0.7336358566655523
Technology,SBI Securities,0.5566711151095209
Technology,Angel Broking,0.40042149142193484
Technology,Keynote Capitals Ltd,0.3536118756350367
Technology,Arihant Capital,0.3415105280261516
Technology,Dynamic Levels,0.3235615096432147
Technology,Joindre Capital Services,0.30184956467864443
Telecommunications,Hem Securities,1.0000000000000002
Telecommunications,Way2Wealth,1.0000000000000002
Telecommunications,East India Securities Ltd,0.999999999999999
Telecommunications,Edelweiss,0.9948949068915851
Telecommunications,Ashika Research,0.9412782586510343
Telecommunications,Reliance Securities,0.648029143485505
Telecommunications,Dolat Capital,0.6380893808982948
Telecommunications,Centrum Broking,0.4637832118346801
Telecommunications,ICICI Direct,0.4297589607175055
Telecommunications,IDBI Capital,0.37599810294977165
Transportation,Karvy,0.5621427821292598
Transportation,Axis Direct,0.4293651145553178
Transportation,Dolat Capital,0.3410954732016841
Transportation,Phillip Capital,0.33564439295207976
Transportation,Geojit BNP Paribas,0.3228977230068871
Transportation,Motilal Oswal,0.14492557647039148
Transportation,BOB Capital Markets Ltd.,0.04026278330728955
Transportation,Way2Wealth,0.010690104889809466
Transportation,HDFC Securities,-0.18590427027510317
Transportation,ICICI Securities Limited,-0.19904983268088264
Unknown,East India Securities Ltd,0.9999999999999998
Unknown,Ventura,0.9999999999999998
Unknown,SBI Securities,0.9463770695523794
Unknown,Monarch Networth Capital Limited,0.874979439642485
Unknown,Choice India,0.5913523013485283
Unknown,Ashika Research,0.4230794283157078
Unknown,Rudra Shares and Stock Brokers Ltd,0.4151630453373593
Unknown,Reliance Securities,0.3676503105991249
Unknown,Emkay,0.22996898344953962
Unknown,Motilal Oswal,0.21464812334163813
Utilities,Angel Broking,1.0000000000000004
Utilities,Anand Rathi,0.9999999999999998
Utilities,Hem Securities,0.9999999999999998
Utilities,Yes Securities,0.9999999999999998
Utilities,Phillip Capital,0.8251243880318128
Utilities,BOB Capital Markets Ltd.,0.34104054346830703
Utilities,ICICI Direct,0.25547146138151505
Utilities,HDFC Securities,0.21490908848613965
Utilities,Reliance Securities,0.19901872273203647
Utilities,Prabhudas Lilladhar,0.17505294627387658
